,Watts,,,,year,nm,cm²,
model,TDP,core_units,manufacturer,family,manufacture_date,process,die_size,source, comment
Xeon Gold 5415+,150,8,Intel,Sapphire Rapids,2023,10,19.08,https://www.techpowerup.com/cpu-specs/xeon-gold-5415.c3164,
Xeon Gold 5416S,150,16,Intel,Sapphire Rapids,2023,10,19.08,https://www.techpowerup.com/cpu-specs/xeon-gold-5416s.c3161,
Xeon Gold 5418N,165,24,Intel,Sapphire Rapids,2023,10,19.08,https://www.techpowerup.com/cpu-specs/xeon-gold-5418n.c3154,
Xeon Gold 5418Y,185,24,Intel,Sapphire Rapids,2023,10,19.08,https://www.techpowerup.com/cpu-specs/xeon-gold-5418y.c3155,
Xeon Gold 5420+,205,28,Intel,Sapphire Rapids,2023,10,19.08,https://www.techpowerup.com/cpu-specs/xeon-gold-5420.c3151,
Xeon Gold 5423N,145,20,Intel,Sapphire Rapids,2023,10,19.08,https://www.techpowerup.com/cpu-specs/xeon-gold-5423n.c3158,
Xeon Gold 5433N,160,20,Intel,Sapphire Rapids,2023,10,19.08,https://www.techpowerup.com/cpu-specs/xeon-gold-5433n.c3159,
Xeon Gold 6414U,250,32,Intel,Sapphire Rapids,2023,10,19.08,https://www.techpowerup.com/cpu-specs/xeon-gold-6414u.c3140,
Xeon Gold 6416H,165,18,Intel,Sapphire Rapids,2023,10,19.08,https://www.techpowerup.com/cpu-specs/xeon-gold-6416h.c3160,
Xeon Gold 6418H,185,24,Intel,Sapphire Rapids,2023,10,19.08,https://www.techpowerup.com/cpu-specs/xeon-gold-6418h.c3156,
Xeon Gold 6421N,185,32,Intel,Sapphire Rapids,2023,10,19.08,https://www.techpowerup.com/cpu-specs/xeon-gold-6421n.c3141,
Xeon Gold 6426Y,185,16,Intel,Sapphire Rapids,2023,10,19.08,https://www.techpowerup.com/cpu-specs/xeon-gold-6426y.c3162,
Xeon Gold 6428N,185,32,Intel,Sapphire Rapids,2023,10,19.08,https://www.techpowerup.com/cpu-specs/xeon-gold-6428n.c3142,
Xeon Gold 6430,270,32,Intel,Sapphire Rapids,2023,10,19.08,https://www.techpowerup.com/cpu-specs/xeon-gold-6430.c3143,
Xeon Gold 6434,195,8,Intel,Sapphire Rapids,2023,10,19.08,https://www.techpowerup.com/cpu-specs/xeon-gold-6434.c3165,
Xeon Gold 6434H,195,8,Intel,Sapphire Rapids,2023,10,19.08,https://www.techpowerup.com/cpu-specs/xeon-gold-6434h.c3166,
Xeon Gold 6438M,205,32,Intel,Sapphire Rapids,2023,10,19.08,https://www.techpowerup.com/cpu-specs/xeon-gold-6438m.c3144,
Xeon Gold 6438N,205,32,Intel,Sapphire Rapids,2023,10,19.08,https://www.techpowerup.com/cpu-specs/xeon-gold-6438n.c3145,
Xeon Gold 6438Y+,205,32,Intel,Sapphire Rapids,2023,10,19.08,https://www.techpowerup.com/cpu-specs/xeon-gold-6438y.c3146,
Xeon Gold 6442Y,225,24,Intel,Sapphire Rapids,2023,10,19.08,https://www.techpowerup.com/cpu-specs/xeon-gold-6442y.c3157,
Xeon Gold 6444Y,270,16,Intel,Sapphire Rapids,2023,10,19.08,https://www.techpowerup.com/cpu-specs/xeon-gold-6444y.c3163,
Xeon Gold 6448H,250,32,Intel,Sapphire Rapids,2023,10,19.08,https://www.techpowerup.com/cpu-specs/xeon-gold-6448h.c3147,
Xeon Gold 6448Y,225,32,Intel,Sapphire Rapids,2023,10,19.08,https://www.techpowerup.com/cpu-specs/xeon-gold-6448y.c3148,
Xeon Gold 6454S,270,32,Intel,Sapphire Rapids,2023,10,19.08,https://www.techpowerup.com/cpu-specs/xeon-gold-6454s.c3149,
Xeon Gold 6458Q,350,32,Intel,Sapphire Rapids,2023,10,19.08,https://www.techpowerup.com/cpu-specs/xeon-gold-6458q.c3150,
Xeon Max 9460,350,40,Intel,Sapphire Rapids HBM,2023,10,19.08,https://www.techpowerup.com/cpu-specs/xeon-max-9460.c3087,
Xeon Max 9462,350,32,Intel,Sapphire Rapids HBM,2023,10,19.08,https://www.techpowerup.com/cpu-specs/xeon-max-9462.c3088,
Xeon Max 9468,350,48,Intel,Sapphire Rapids HBM,2023,10,19.08,https://www.techpowerup.com/cpu-specs/xeon-max-9468.c3086,
Xeon Max 9470,350,52,Intel,Sapphire Rapids HBM,2023,10,19.08,https://www.techpowerup.com/cpu-specs/xeon-max-9470.c3085,
Xeon Max 9480,350,56,Intel,Sapphire Rapids HBM,2023,10,19.08,https://www.techpowerup.com/cpu-specs/xeon-max-9480.c3084,
Xeon Platinum 8444H,270,16,Intel,Sapphire Rapids,2023,10,19.08,https://www.techpowerup.com/cpu-specs/xeon-platinum-8444h.c3139,
Xeon Platinum 8450H,250,28,Intel,Sapphire Rapids,2023,10,19.08,https://www.techpowerup.com/cpu-specs/xeon-platinum-8450h.c3138,
Xeon Platinum 8452Y,300,36,Intel,Sapphire Rapids,2023,10,19.08,https://www.techpowerup.com/cpu-specs/xeon-platinum-8452y.c3135,
Xeon Platinum 8454H,270,32,Intel,Sapphire Rapids,2023,10,19.08,https://www.techpowerup.com/cpu-specs/xeon-platinum-8454h.c3136,
Xeon Platinum 8458P,350,44,Intel,Sapphire Rapids,2023,10,19.08,https://www.techpowerup.com/cpu-specs/xeon-platinum-8458p.c3133,
Xeon Platinum 8460H,330,40,Intel,Sapphire Rapids,2023,10,19.08,https://www.techpowerup.com/cpu-specs/xeon-platinum-8460h.c3134,
Xeon Platinum 8460Y+,300,40,Intel,Sapphire Rapids,2023,10,19.08,https://www.techpowerup.com/cpu-specs/xeon-platinum-8460y.c3095,
Xeon Platinum 8461V,300,48,Intel,Sapphire Rapids,2023,10,19.08,https://www.techpowerup.com/cpu-specs/xeon-platinum-8461v.c3093,
Xeon Platinum 8462Y+,300,32,Intel,Sapphire Rapids,2023,10,19.08,https://www.techpowerup.com/cpu-specs/xeon-platinum-8462y.c3137,
Xeon Platinum 8468,350,48,Intel,Sapphire Rapids,2023,10,19.08,https://www.techpowerup.com/cpu-specs/xeon-platinum-8468.c3094,
Xeon Platinum 8468H,330,48,Intel,Sapphire Rapids,2023,10,19.08,https://www.techpowerup.com/cpu-specs/xeon-platinum-8468h.c3131,
Xeon Platinum 8468V,330,48,Intel,Sapphire Rapids,2023,10,19.08,https://www.techpowerup.com/cpu-specs/xeon-platinum-8468v.c3132,
Xeon Platinum 8470,350,52,Intel,Sapphire Rapids,2023,10,19.08,https://www.techpowerup.com/cpu-specs/xeon-platinum-8470.c3089,
Xeon Platinum 8470N,300,52,Intel,Sapphire Rapids,2023,10,19.08,https://www.techpowerup.com/cpu-specs/xeon-platinum-8470n.c3090,
Xeon Platinum 8470Q,350,52,Intel,Sapphire Rapids,2023,10,19.08,https://www.techpowerup.com/cpu-specs/xeon-platinum-8470q.c3091,
Xeon Platinum 8471N,300,52,Intel,Sapphire Rapids,2023,10,19.08,https://www.techpowerup.com/cpu-specs/xeon-platinum-8471n.c3092,
Xeon Platinum 8480+,350,56,Intel,Sapphire Rapids,2023,10,19.08,https://www.techpowerup.com/cpu-specs/xeon-platinum-8480.c2958,
Xeon Platinum 8490H,350,60,Intel,Sapphire Rapids,2023,10,19.08,https://www.techpowerup.com/cpu-specs/xeon-platinum-8490h.c2942,
Xeon Silver 4410T,150,10,Intel,Sapphire Rapids,2023,10,19.08,https://www.techpowerup.com/cpu-specs/xeon-silver-4410t.c3169,
Xeon Silver 4410Y,150,12,Intel,Sapphire Rapids,2023,10,19.08,https://www.techpowerup.com/cpu-specs/xeon-silver-4410y.c3168,
Xeon Silver 4416+,165,20,Intel,Sapphire Rapids,2023,10,19.08,https://www.techpowerup.com/cpu-specs/xeon-silver-4416.c3167,
